COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
64015,64,Alçay-Alçabéhéty-Sunharette,207,0.0,0,0.0,26.0,0.0,0,0,0.0,16,37,18,74,19
64016,64,Aldudes,327,0.0,0,6.0,26.0,0.0,0,0,0.0,28,37,18,74,26
64017,64,Alos-Sibas-Abense,305,0.0,0,0.0,26.0,0.0,0,0,0.0,26,37,18,74,19
64018,64,Amendeuix-Oneix,466,0.0,0,0.0,26.0,0.0,0,0,0.0,28,37,18,74,19
64019,64,Amorots-Succos,224,0.0,0,0.0,26.0,0.0,0,0,0.0,15,37,18,74,19
64021,64,Andoins,724,0.0,0,2.0,17.7,0.0,0,0,0.0,35,37,18,74,19
64022,64,Andrein,138,0.0,0,0.0,20.9,0.0,0,0,0.0,26,37,18,74,18
64023,64,Angaïs,895,0.0,0,0.0,10.7,0.0,0,0,0.0,33,37,18,74,15
64024,64,Anglet,42288,0.0,0,15.0,76.0,0.0,0,0,0.0,90,46,25,85,50
64025,64,Angous,94,0.0,0,0.0,20.9,0.0,0,0,0.0,21,37,18,74,18
64026,64,Anhaux,383,0.0,0,0.0,26.0,0.0,0,0,0.0,20,37,18,74,19
64027,64,Anos,178,0.0,0,0.0,10.4,0.0,0,0,0.0,24,37,18,74,15
64028,64,Anoye,134,0.0,0,0.0,10.4,0.0,0,0,0.0,18,37,18,74,15
64029,64,Aramits,658,0.0,0,2.0,50.4,0.0,0,0,0.0,29,37,18,74,28
64031,64,Arancou,183,0.0,0,0.0,26.0,0.0,0,0,0.0,25,37,18,74,19
64032,64,Araujuzon,185,0.0,0,5.0,20.9,0.0,0,0,0.0,23,37,18,74,23
64033,64,Araux,134,0.0,0,0.0,20.9,0.0,0,0,0.0,22,37,18,74,18
64034,64,Arbérats-Sillègue,328,0.0,0,7.0,26.0,0.0,0,0,0.0,398,37,18,436,335
64035,64,Arbonne,2364,0.0,0,6.0,49.2,0.0,0,0,0.0,48,37,18,74,32
64036,64,Arbouet-Sussaute,312,0.0,0,0.0,26.0,0.0,0,0,0.0,23,37,18,74,19
64037,64,Arbus,1235,0.0,0,5.0,29.5,0.0,0,0,0.0,29,37,18,74,26
64038,64,Arcangues,3588,0.0,0,4.0,39.2,0.0,0,0,0.0,41,37,18,74,27
64039,64,Aren,246,0.0,0,6.0,21.5,0.0,0,0,0.0,23,37,18,74,24
64040,64,Arette,1052,0.0,0,1.0,21.5,0.0,0,0,0.0,35,130,18,74,115
64041,64,Aressy,846,0.0,0,0.0,29.5,0.0,0,0,0.0,34,37,18,74,20
64042,64,Argagnon,699,0.0,0,0.0,26.9,0.0,0,0,0.0,30,37,18,74,19
64043,64,Argelos,274,0.0,0,0.0,15.7,0.0,0,0,0.0,21,37,18,74,16
64044,64,Arget,80,0.0,0,0.0,15.7,0.0,0,0,0.0,6,37,18,74,16
64045,64,Arhansus,67,0.0,0,0.0,26.0,0.0,0,0,0.0,6,37,18,74,19
64046,64,Armendarits,392,0.0,0,0.0,26.0,0.0,0,0,0.0,27,37,18,74,19
64047,64,Arnéguy,238,0.0,0,0.0,26.0,0.0,0,0,0.0,24,37,18,74,19
64048,64,Arnos,134,0.0,0,0.0,26.9,0.0,0,0,0.0,23,37,18,74,19
64049,64,Aroue-Ithorots-Olhaïby,231,0.0,0,0.0,26.0,0.0,0,0,0.0,20,37,18,74,19
