departement,population,Total_FdS_Insécurité,Total_FdS_Immigration,Total_FdS_Islamisme,Total_FdS_Défrancisation,Total_FdS_Wokisme,Total_Mosques,Mosques_per_100k,Total_QPV,Pop_in_QPV,Pop_in_QPV_pct,Crime_Coups_et_blessures_volontaires_p1k,Crime_Coups_et_blessures_volontaires_intrafamiliaux_p1k,Crime_Autres_coups_et_blessures_volontaires_p1k,Crime_Violences_sexuelles_p1k,Crime_Vols_avec_armes_p1k,Crime_Vols_violents_sans_arme_p1k,Crime_Vols_sans_violence_contre_des_personnes_p1k,Crime_Cambriolages_de_logement_p1k,Crime_Vols_de_véhicules_p1k,Crime_Vols_dans_les_véhicules_p1k,Crime_Vols_d_accessoires_sur_véhicules_p1k,Crime_Destructions_et_dégradations_volontaires_p1k,Crime_Usage_de_stupéfiants_p1k,Crime_Usage_de_stupéfiants_AFD_p1k,Crime_Trafic_de_stupéfiants_p1k,Crime_Escroqueries_p1k,Crime_Homicides_p100k,Crime_Tentatives_d_homicides_p100k,Prenom_Traditionnel_pct,Prenom_Moderne_pct,Prenom_Inventé_pct,Prenom_Européen_pct,Prenom_Musulman_pct,Prenom_Africain_pct,Prenom_Asiatique_pct,FdS_Insécurité_per_1k,FdS_Immigration_per_1k,FdS_Islamisme_per_1k,FdS_Défrancisation_per_1k,FdS_Wokisme_per_1k
62,1460184,39,24,2,15,13,37,2.534,64,173891,11.909,6.8272,4.2995,2.5278,2.3031,0.0753,0.3787,4.8104,5.0828,1.5813,2.4031,1.1252,8.9763,4.0858,2.5202,0.4814,4.7932,0.6849,6.2321,44.44,2.94,19.82,24.77,11.84,1.44,0.51,0.027,0.016,0.001,0.01,0.009
63,664385,14,12,3,4,2,26,3.913,7,28451,4.282,3.7478,1.9612,1.7866,1.5202,0.0542,0.435,6.2343,7.1773,2.0003,3.2195,0.7902,7.9066,2.4715,1.618,0.4801,5.4983,0.6021,6.4722,44.07,4.13,14.65,24.9,17.18,2.66,0.13,0.021,0.018,0.005,0.006,0.003
64,699473,9,5,2,3,4,7,1.001,4,14924,2.134,3.4297,1.8814,1.5483,1.5083,0.0429,0.3388,7.0625,4.1185,1.3153,2.5834,0.6648,6.6936,2.5419,1.2638,0.4861,5.7743,1.1437,2.1445,42.99,4.02,16.19,32.47,8.25,0.62,0.31,0.013,0.007,0.003,0.004,0.006
65,231453,3,2,0,3,2,3,1.296,4,9167,3.961,4.0872,2.346,1.7412,1.6116,0.0302,0.2376,6.7832,3.2001,1.0024,1.9658,0.5876,6.969,3.7329,1.1838,0.7475,5.5864,1.7282,2.5923,47.83,3.62,15.22,31.88,8.7,0.72,0.0,0.013,0.009,0.0,0.013,0.009
66,492964,12,6,1,6,0,23,4.666,10,31676,6.426,5.4142,2.7588,2.6554,1.9231,0.0953,0.7485,9.0757,5.3788,2.416,3.909,1.777,11.6885,3.1037,1.8521,1.136,7.3068,1.42,4.2599,29.86,4.91,15.91,33.99,21.22,0.98,0.0,0.024,0.012,0.002,0.012,0.0
67,1156963,9,11,12,13,1,43,3.717,24,95454,8.25,4.3294,2.4469,1.8825,1.5558,0.0735,0.3475,9.1006,4.0404,0.688,2.5446,0.4849,6.7435,1.8989,1.0752,0.3924,5.2629,0.4322,2.6794,41.96,3.59,11.6,23.51,23.77,1.86,0.32,0.008,0.01,0.01,0.011,0.001
68,767800,10,9,8,10,1,35,4.558,11,67267,8.761,4.888,2.963,1.925,1.8156,0.0443,0.2865,6.6541,4.3472,0.6955,2.2519,0.4532,6.3076,2.4212,1.2399,0.534,4.6718,1.0419,8.2053,35.17,3.72,13.87,26.94,26.61,1.58,0.79,0.013,0.012,0.01,0.013,0.001
69,1907982,47,30,16,22,7,90,4.717,48,195147,10.228,4.9429,2.4722,2.4707,1.6143,0.1441,1.5053,15.5562,8.6262,3.1059,9.2773,2.6772,8.1945,5.2212,3.9471,0.9193,7.8308,1.4151,5.2411,34.46,2.76,12.04,23.31,31.7,3.53,0.33,0.025,0.016,0.008,0.012,0.004
70,233920,10,2,0,1,0,12,5.13,5,8527,3.645,4.3305,2.5051,1.8254,1.8596,0.0385,0.1282,4.5913,3.0823,1.0645,1.8724,0.7609,6.9639,2.27,1.0816,0.5087,5.5318,0.855,3.8475,41.1,5.48,12.33,32.88,12.33,0.0,0.0,0.043,0.009,0.0,0.004,0.0
71,549136,7,5,1,3,1,22,4.006,12,26977,4.913,3.7131,2.1761,1.537,1.4386,0.0492,0.1748,4.1593,4.8463,1.129,1.8356,1.3203,5.9657,2.9792,1.7737,0.3132,4.8749,0.5463,5.281,44.44,3.7,11.57,25.93,17.82,1.16,0.23,0.013,0.009,0.002,0.005,0.002
72,566129,10,6,4,5,0,10,1.766,7,31774,5.613,4.5767,2.7291,1.8476,2.4747,0.0724,0.5052,5.2444,6.7168,1.2771,2.881,1.0687,6.8589,2.3775,1.2524,0.3533,5.5694,1.5897,5.1225,46.55,3.29,15.46,24.18,14.47,2.14,0.49,0.018,0.011,0.007,0.009,0.0
73,445288,20,11,4,8,3,22,4.941,3,13077,2.937,4.2961,2.3064,1.9897,1.6371,0.0494,0.2762,9.4119,3.6975,1.2554,2.9442,0.7905,7.4536,3.0879,1.7696,0.5233,5.7132,0.4491,5.6143,43.58,4.28,12.85,30.91,13.97,0.93,0.19,0.045,0.025,0.009,0.018,0.007
74,849583,36,19,3,7,1,38,4.473,6,17004,2.001,4.2515,2.5142,1.7373,1.4701,0.0918,0.4179,8.789,5.5964,1.9586,3.0992,0.5862,7.1517,3.517,1.7809,0.8345,6.216,3.5311,5.8852,38.19,3.66,13.12,27.21,22.79,1.8,0.48,0.042,0.022,0.004,0.008,0.001
75,2113705,2362,1525,517,844,908,55,2.602,21,123040,5.821,6.0221,2.5108,3.5114,2.7804,0.1746,3.5166,46.8731,6.6218,1.8711,7.0081,1.0862,8.4629,14.098,10.8629,2.3125,11.4013,1.6085,8.847,42.29,2.48,10.06,22.51,25.55,6.11,0.31,1.117,0.721,0.245,0.399,0.43
76,1260205,6,4,2,3,2,36,2.857,29,123712,9.817,5.5229,3.205,2.3179,2.0084,0.0992,0.6602,6.737,4.9464,1.9854,4.9611,1.5989,7.8106,4.4786,3.2511,0.3484,5.7721,1.1903,5.4753,39.1,3.01,15.5,23.13,23.17,4.05,0.57,0.005,0.003,0.002,0.002,0.002
77,1452399,78,37,9,18,8,66,4.544,25,91658,6.311,4.505,2.8945,1.6104,1.6807,0.1219,0.5632,6.7654,6.1742,2.4917,3.3407,2.4126,6.9933,6.2579,4.423,0.6004,5.9715,1.1016,3.5114,25.86,2.84,17.3,28.42,30.92,5.84,0.44,0.054,0.025,0.006,0.012,0.006
