COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score,Number_of_Mosques,Mosque_p100k
35292,35,Saint-Marc-le-Blanc,1567,0.0,0,5.0,29,38,13,57,20,0,0.0
35294,35,Sainte-Marie,2249,0.0,0,2.0,37,38,13,57,17,0,0.0
35295,35,Saint-Maugan,518,0.0,0,4.0,25,38,13,57,19,0,0.0
35296,35,Saint-Médard-sur-Ille,1350,0.0,0,3.0,30,38,13,57,18,0,0.0
35297,35,Saint-Méen-le-Grand,4642,0.0,0,6.0,53,38,13,57,21,0,0.0
35299,35,Saint-Méloir-des-Ondes,4666,0.0,0,8.0,30,38,13,57,23,0,0.0
35300,35,Saint-M'Hervé,1357,0.0,0,6.0,25,38,13,57,21,0,0.0
35302,35,Saint-Onen-la-Chapelle,1121,0.0,0,2.0,29,38,13,57,17,0,0.0
35304,35,Saint-Ouen-des-Alleux,1308,0.0,0,7.0,29,38,13,57,22,0,0.0
35305,35,Saint-Péran,415,0.0,0,3.0,24,38,2423,57,18,1,240.96
35306,35,Saint-Père-Marc-en-Poulet,2399,0.0,0,4.0,100,38,13,57,19,0,0.0
35307,35,Saint-Pern,1003,0.0,0,3.0,29,38,13,57,18,0,0.0
35308,35,Mesnil-Roc'h,4457,0.0,0,6.0,56,38,13,57,44,0,0.0
35309,35,Saint-Rémy-du-Plain,808,0.0,0,8.0,30,38,13,57,23,0,0.0
35310,35,Saint-Sauveur-des-Landes,1565,0.0,0,8.0,31,38,13,57,23,0,0.0
35311,35,Saint-Séglin,600,0.0,0,4.0,28,38,13,57,19,0,0.0
35312,35,Saint-Senoux,1836,0.0,0,2.0,28,38,13,57,17,0,0.0
35314,35,Saint-Suliac,977,0.0,0,2.0,28,38,13,57,17,0,0.0
35315,35,Saint-Sulpice-la-Forêt,1557,0.0,0,5.0,28,38,13,57,20,0,0.0
35316,35,Saint-Sulpice-des-Landes,827,0.0,0,7.0,31,38,13,57,22,0,0.0
35317,35,Saint-Symphorien,613,0.0,0,4.0,29,38,13,57,19,0,0.0
35318,35,Saint-Thual,999,0.0,0,4.0,29,38,13,57,19,0,0.0
35319,35,Saint-Thurial,2165,0.0,0,5.0,81,38,13,57,20,0,0.0
35320,35,Saint-Uniac,512,0.0,0,7.0,27,38,13,57,22,0,0.0
35321,35,Saulnières,798,0.0,0,4.0,30,38,13,57,19,0,0.0
35322,35,Le Sel-de-Bretagne,1102,0.0,0,5.0,29,38,13,57,20,0,0.0
35324,35,La Selle-en-Luitré,618,0.0,0,4.0,29,38,13,57,19,0,0.0
35325,35,La Selle-Guerchaise,153,0.0,0,0.0,20,38,13,57,15,0,0.0
35326,35,Sens-de-Bretagne,2620,0.0,0,4.0,31,77,13,95,58,0,0.0
35327,35,Servon-sur-Vilaine,4032,0.0,0,10.0,37,38,13,57,25,0,0.0
35328,35,Sixt-sur-Aff,2222,0.0,0,4.0,34,38,13,57,19,0,0.0
35329,35,Sougeal,544,0.0,0,4.0,25,38,13,57,19,0,0.0
35330,35,Taillis,1036,0.0,0,11.0,23,38,13,57,26,0,0.0
35331,35,Talensac,2530,0.0,0,5.0,30,38,13,57,20,0,0.0
35332,35,Teillay,1103,0.0,0,4.0,30,38,13,57,19,0,0.0
35333,35,Le Theil-de-Bretagne,1720,0.0,0,3.0,31,38,13,57,18,0,0.0
35334,35,Thorigné-Fouillard,8631,0.0,0,16.0,72,50,13,69,43,0,0.0
35335,35,Thourie,857,0.0,0,3.0,28,38,13,57,18,0,0.0
35336,35,Le Tiercent,194,0.0,0,0.0,20,38,13,57,15,0,0.0
35337,35,Tinténiac,3877,0.0,0,7.0,78,64,13,57,22,0,0.0
35338,35,Torcé,1270,0.0,0,6.0,31,38,13,57,21,0,0.0
35339,35,Trans-la-Forêt,638,0.0,0,2.0,28,38,13,57,17,0,0.0
35340,35,Treffendel,1327,0.0,0,5.0,30,38,13,57,20,0,0.0
35342,35,Trémeheuc,349,0.0,0,0.0,24,38,13,57,15,0,0.0
35343,35,Tresbœuf,1235,0.0,0,4.0,30,38,13,57,19,0,0.0
35345,35,Trévérien,918,0.0,0,4.0,26,38,13,57,19,0,0.0
35346,35,Trimer,205,0.0,0,5.0,20,38,13,57,20,0,0.0
35347,35,Val-d'Izé,2601,0.0,0,5.0,69,38,13,57,20,0,0.0
35350,35,Vergéal,804,0.0,0,8.0,27,38,13,57,23,0,0.0
35351,35,Le Verger,1404,0.0,0,15.0,29,38,13,57,30,0,0.0
35352,35,Vern-sur-Seiche,8272,0.0,0,15.0,85,63,25,81,43,0,0.0
35353,35,Vezin-le-Coquet,6441,0.0,0,21.0,118,54,29,57,36,0,0.0
35354,35,Vieux-Viel,328,0.0,0,0.0,18,38,13,57,15,0,0.0
35355,35,Vieux-Vy-sur-Couesnon,1280,0.0,0,4.0,30,38,13,57,19,0,0.0
35356,35,Vignoc,2290,0.0,0,9.0,31,38,13,57,24,0,0.0
35357,35,Villamée,291,0.0,0,3.0,25,38,13,57,18,0,0.0
35358,35,La Ville-ès-Nonais,1226,0.0,0,3.0,34,38,13,57,18,0,0.0
35359,35,Visseiche,868,0.0,0,6.0,29,38,13,57,21,0,0.0
35360,35,Vitré,18892,0.0,0,18.0,90,65,18,63,33,0,0.0
35361,35,Le Vivier-sur-Mer,1062,0.0,0,9.0,31,38,13,57,24,0,0.0
35362,35,Le Tronchet,1204,0.0,0,3.0,30,38,13,57,18,0,0.0
35363,35,Pont-Péan,4289,0.0,0,15.0,44,38,13,57,30,0,0.0
36001,36,Aigurande,1329,0.0,0,14.0,41,42,12,68,34,0,0.0
36002,36,Aize,116,0.0,0,0.0,16,42,12,68,20,0,0.0
36003,36,Ambrault,887,0.0,0,5.0,33,42,12,68,25,0,0.0
36004,36,Anjouin,315,0.0,0,6.0,33,42,12,68,26,0,0.0
36005,36,Ardentes,3747,0.0,0,9.0,66,42,39,95,29,0,0.0
36006,36,Argenton-sur-Creuse,4817,0.0,0,23.0,98,42,12,68,43,0,0.0
36007,36,Argy,574,0.0,0,4.0,36,217,12,68,198,0,0.0
36008,36,Arpheuilles,238,0.0,0,2.0,25,42,12,68,22,0,0.0
36009,36,Arthon,1216,0.0,0,6.0,33,42,12,68,26,0,0.0
36010,36,Azay-le-Ferron,835,0.0,0,10.0,30,42,12,68,30,0,0.0
36011,36,Bagneux,173,0.0,0,3.0,27,42,12,68,23,0,0.0
36012,36,Baraize,357,0.0,0,3.0,22,42,12,68,23,0,0.0
36013,36,Baudres,400,0.0,0,9.0,30,42,12,68,29,0,0.0
36014,36,Bazaiges,213,0.0,0,0.0,30,42,12,68,20,0,0.0
36015,36,Beaulieu,51,0.0,0,0.0,18,42,12,68,20,0,0.0
36016,36,Bélâbre,926,0.0,0,5.0,142,690,12,716,241,0,0.0
36017,36,La Berthenoux,361,0.0,0,3.0,33,42,12,68,23,0,0.0
36018,36,Le Blanc,6188,0.0,0,21.0,74,75,28,100,57,0,0.0
36019,36,Bommiers,320,0.0,0,0.0,16,42,12,68,20,0,0.0
36020,36,Bonneuil,75,0.0,0,0.0,13,42,12,68,20,0,0.0
36021,36,Les Bordes,824,0.0,0,1.0,35,42,12,68,21,0,0.0
36022,36,Bouesse,388,0.0,0,4.0,31,42,12,68,24,0,0.0
36023,36,Bouges-le-Château,264,0.0,0,3.0,35,42,12,68,23,0,0.0
36024,36,Bretagne,122,0.0,0,0.0,27,42,12,68,20,0,0.0
36025,36,Briantes,596,0.0,0,5.0,29,42,12,68,25,0,0.0
36026,36,Brion,595,0.0,0,2.0,36,42,12,68,22,0,0.0
36027,36,Brives,239,0.0,0,3.0,25,42,12,68,23,0,0.0
36028,36,La Buxerette,111,0.0,0,0.0,30,42,12,68,20,0,0.0
36029,36,Buxeuil,221,0.0,0,4.0,27,42,12,68,24,0,0.0
36030,36,Buxières-d'Aillac,243,0.0,0,0.0,27,42,12,68,20,0,0.0
36031,36,Buzançais,4431,0.0,0,19.0,67,88,12,91,39,0,0.0
36032,36,Ceaulmont,673,0.0,0,5.0,32,42,12,68,25,0,0.0
36033,36,Celon,383,0.0,0,11.0,91,42,12,68,31,0,0.0
36034,36,Chabris,2762,0.0,0,8.0,41,42,12,68,28,0,0.0
36035,36,Chaillac,1031,0.0,0,11.0,131,42,12,68,31,0,0.0
36036,36,Chalais,151,0.0,0,0.0,30,42,12,68,20,0,0.0
36037,36,La Champenoise,305,0.0,0,0.0,34,42,12,68,20,0,0.0
36038,36,Champillet,126,0.0,0,0.0,27,42,12,68,20,0,0.0
36040,36,La Chapelle-Orthemale,100,0.0,0,14.0,18,42,12,68,34,0,0.0
36041,36,La Chapelle-Saint-Laurian,136,0.0,0,0.0,28,42,12,68,20,0,0.0
36042,36,Chasseneuil,710,0.0,0,4.0,33,42,12,68,24,0,0.0
36043,36,Chassignolles,533,0.0,0,5.0,29,42,12,68,25,0,0.0
36044,36,Châteauroux,43079,23.62,3,35.0,204,122,98,127,187,2,4.64
36045,36,Châtillon-sur-Indre,2296,0.0,0,14.0,42,86,12,112,34,0,0.0
36046,36,La Châtre,4038,0.0,0,34.0,96,42,12,68,54,0,0.0
36047,36,La Châtre-Langlin,503,0.0,0,2.0,32,42,12,68,22,0,0.0
36048,36,Chavin,270,0.0,0,1.0,30,42,12,68,21,0,0.0
